City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hilo,90,US,1616437645,88,19.7297,-155.09,69.8,6.91
cape town,0,ZA,1616437398,73,-33.9258,18.4232,70.0,12.66
bluff,85,NZ,1616437646,97,-46.6,168.3333,53.01,1.99
bredasdorp,0,ZA,1616437646,72,-34.5322,20.0403,64.4,12.66
vaini,20,TO,1616437646,88,-21.2,-175.2,75.2,6.91
vila velha,0,BR,1616437647,66,-20.3297,-40.2925,88.0,11.5
katsuura,85,JP,1616437647,43,35.1333,140.3,48.0,9.15
pisco,0,PE,1616437648,61,-13.7,-76.2167,77.0,25.32
cabo san lucas,40,MX,1616437528,50,22.8909,-109.9124,82.0,9.22
albany,0,US,1616437648,12,42.6001,-73.9662,64.99,1.99
mataura,40,NZ,1616437648,97,-46.1927,168.8643,53.01,1.99
barrow,1,US,1616437649,69,71.2906,-156.7887,-20.2,8.05
ribeira grande,75,PT,1616437650,88,38.5167,-28.7,59.0,17.27
beatrice,90,US,1616437650,93,40.2681,-96.747,48.99,11.5
punta arenas,40,CL,1616437359,55,-53.15,-70.9167,62.6,21.85
avarua,40,CK,1616437651,78,-21.2078,-159.775,82.4,8.05
busselton,64,AU,1616437633,91,-33.65,115.3333,50.0,9.53
puerto ayora,75,EC,1616437458,74,-0.7393,-90.3518,84.2,13.8
brockville,1,CA,1616437573,16,44.5834,-75.6826,64.4,10.36
ushuaia,75,AR,1616437533,58,-54.8,-68.3,59.0,6.91
iqaluit,1,CA,1616437457,70,63.7506,-68.5145,-13.0,26.46
aklavik,1,CA,1616437652,77,68.2191,-135.0107,-9.4,6.91
bonfim,40,BR,1616437653,55,3.0833,-59.95,91.4,13.8
yellowknife,20,CA,1616437653,53,62.456,-114.3525,-9.99,6.91
los llanos de aridane,75,ES,1616437653,67,28.6585,-17.9182,62.6,5.75
victoria,97,HK,1616437386,65,22.2855,114.1577,64.99,1.01
iwaki,100,JP,1616437457,77,37.05,140.8833,37.99,1.01
sugag,90,RO,1616437654,69,45.7667,23.6333,36.0,8.05
bambous virieux,40,MU,1616437654,89,-20.3428,57.7575,81.0,6.91
mount gambier,90,AU,1616437654,94,-37.8333,140.7667,62.6,5.75
hermanus,0,ZA,1616437655,76,-34.4187,19.2345,66.0,8.01
coquimbo,0,CL,1616437655,49,-29.9533,-71.3436,69.8,12.66
jamestown,1,US,1616437656,17,42.097,-79.2353,60.8,9.08
tuktoyaktuk,1,CA,1616437657,76,69.4541,-133.0374,-16.6,13.8
rio gallegos,75,AR,1616437421,28,-51.6226,-69.2181,73.4,16.11
ancud,20,CL,1616437658,55,-41.8697,-73.8203,70.0,5.75
la rioja,0,ES,1616437658,47,42.25,-2.5,55.4,5.75
port elizabeth,0,ZA,1616437659,82,-33.918,25.5701,64.4,3.44
nome,40,US,1616437660,71,64.5011,-165.4064,-0.4,24.16
narimanov,0,RU,1616437660,86,46.6927,47.8498,35.01,8.95
shiraoi,75,JP,1616437660,75,42.55,141.35,35.6,3.44
laguna,40,US,1616437507,62,38.421,-121.4238,55.99,9.22
kruisfontein,0,ZA,1616437661,78,-34.0033,24.7314,63.0,1.01
kapaa,1,US,1616437481,56,22.0752,-159.319,71.6,13.8
ponta do sol,39,PT,1616437663,69,32.6667,-17.1,60.01,1.01
nikolskoye,20,RU,1616437663,59,59.7035,30.7861,28.4,11.18
mar del plata,75,AR,1616437533,68,-38.0023,-57.5575,68.0,9.22
cockburn town,40,TC,1616437664,69,21.4612,-71.1419,80.6,9.22
tacoronte,40,ES,1616437664,67,28.4769,-16.4102,61.0,6.91
mount isa,90,AU,1616437449,69,-20.7333,139.5,80.6,8.05
longyearbyen,20,SJ,1616437632,72,78.2186,15.6401,8.6,13.8
moose factory,90,CA,1616437665,81,51.2585,-80.6094,42.8,14.97
saldanha,0,ZA,1616437665,38,-33.0117,17.9442,77.0,6.91
walvis bay,26,NA,1616437666,82,-22.9575,14.5053,63.0,6.91
flinders,100,AU,1616437666,97,-34.5833,150.8552,66.99,1.99
eureka,90,US,1616437638,76,40.8021,-124.1637,51.01,5.75
touros,40,BR,1616437667,62,-5.1989,-35.4608,86.0,13.8
pangnirtung,20,CA,1616437668,70,66.1451,-65.7125,-14.8,6.91
husavik,75,IS,1616437668,41,66.0449,-17.3389,37.4,14.97
puerto escondido,1,MX,1616437396,74,15.85,-97.0667,87.8,11.5
arraial do cabo,0,BR,1616437669,45,-22.9661,-42.0278,95.0,5.75
prince albert,90,CA,1616437669,59,53.2001,-105.7677,32.0,9.22
faya,0,SA,1616437670,68,18.3851,42.4509,68.0,3.49
kloulklubed,90,PW,1616437671,89,7.0419,134.2556,78.8,8.05
pipri,75,IN,1616437672,73,19.8,75.5333,75.2,2.3
ilulissat,75,GL,1616437568,72,69.2167,-51.1,8.6,9.22
port macquarie,90,AU,1616437673,100,-31.4333,152.9167,66.2,8.05
vardo,98,NO,1616437673,79,70.3705,31.1107,19.4,23.02
oromocto,1,CA,1616437673,15,45.8351,-66.4792,64.4,10.36
brigham city,90,US,1616437674,65,41.5102,-112.0155,39.2,6.06
kiama,100,AU,1616437674,94,-34.6833,150.8667,66.99,8.99
manavalakurichi,20,IN,1616437675,74,8.1333,77.3,86.0,2.3
port hardy,75,CA,1616437676,87,50.6996,-127.4199,42.8,8.05
new norfolk,84,AU,1616437676,71,-42.7826,147.0587,57.0,1.99
alofi,100,NU,1616437676,89,-19.0595,-169.9187,80.6,13.8
college place,90,US,1616437677,71,46.0493,-118.3883,51.01,12.66
horn,100,DE,1616437677,88,51.8715,8.9451,42.01,4.5
georgetown,20,MY,1616437641,74,5.4112,100.3354,84.99,2.3
cercal,0,PT,1616437679,74,37.806,-8.6715,59.0,4.0
hobart,90,AU,1616437680,82,-42.8794,147.3294,57.2,5.75
cocobeach,20,GA,1616437680,83,1.0002,9.5823,80.6,6.91
muriwai beach,21,NZ,1616437682,92,-36.8167,174.45,59.0,3.76
kodiak,90,US,1616437682,80,57.79,-152.4072,33.8,3.44
ixtapa,1,MX,1616437683,41,20.7,-105.2,77.0,10.36
klaksvik,75,FO,1616437683,93,62.2266,-6.589,44.6,11.5
kapuskasing,90,CA,1616437684,57,49.4169,-82.4331,46.4,4.61
mayo,1,US,1616437685,51,38.8876,-76.5119,61.0,5.75
hue,75,VN,1616437685,100,16.4667,107.6,64.4,9.22
salalah,0,OM,1616437686,69,17.0151,54.0924,80.6,1.14
san carlos de bariloche,0,AR,1616437686,21,-41.1456,-71.3082,78.01,18.41
mahebourg,40,MU,1616437687,89,-20.4081,57.7,78.8,6.91
gonbad-e qabus,75,IR,1616437687,81,37.25,55.1672,48.2,1.61
sao joao da barra,0,BR,1616437688,46,-21.6403,-41.0511,91.4,4.61
sefophe,0,BW,1616437688,69,-22.1833,27.9667,75.2,4.61
talara,0,PE,1616437689,55,-4.5772,-81.2719,87.8,12.66
siderno,90,IT,1616437689,76,38.2779,16.302,50.0,9.22
lompoc,20,US,1616437690,62,34.6391,-120.4579,57.2,13.8
sjovegan,75,NO,1616437691,86,68.8726,17.8474,35.01,3.44
saint-francois,90,FR,1616437691,61,46.4154,3.9054,44.6,12.66
saint-philippe,75,RE,1616437659,74,-21.3585,55.7679,80.6,5.75
fitjar,100,NO,1616437692,88,59.9184,5.3192,44.01,5.99
zheleznodorozhnyy,40,RU,1616437693,100,55.7503,38.0042,32.0,4.47
benito juarez,1,MX,1616437693,23,19.385,-99.165,75.2,5.75
kijang,0,KR,1616437445,48,35.2442,129.2139,41.0,6.91
saint anthony,1,US,1616437695,37,45.0205,-93.218,57.2,5.75
torbay,75,CA,1616437675,43,47.6666,-52.7314,48.2,32.21
maxixe,40,MZ,1616437697,83,-23.8597,35.3472,78.01,10.36
kaohsiung,75,TW,1616437679,68,22.6163,120.3133,66.2,2.3
sitka,75,US,1616437697,87,57.0531,-135.33,37.4,6.91
san patricio,75,US,1616437698,60,28.017,-97.5169,75.99,28.77
platteville,1,US,1616437699,44,42.7342,-90.4785,60.8,5.75
bignona,0,SN,1616437525,48,12.8103,-16.2264,89.6,9.22
nuevo progreso,82,MX,1616437699,47,23.1667,-97.95,81.0,5.99
pointe michel,20,DM,1616437700,65,15.25,-61.3833,84.2,3.44
narsaq,20,GL,1616437701,54,60.9167,-46.05,23.0,3.44
kenai,20,US,1616437701,78,60.5544,-151.2583,6.8,6.91
salmo,100,CA,1616437703,75,49.1999,-117.2689,41.0,6.91
anadyr,0,RU,1616437703,69,64.75,177.4833,-16.01,6.71
imbituba,75,BR,1616437421,78,-28.24,-48.6703,78.8,13.8
goderich,68,CA,1616437703,29,43.7501,-81.7165,64.4,14.97
dunedin,50,NZ,1616437596,87,-45.8742,170.5036,55.99,1.88
asau,100,RO,1616437704,51,46.4333,26.4,35.01,6.22
urumqi,0,CN,1616437705,75,43.801,87.6005,37.4,4.47
mao,20,ES,1616437705,62,39.8885,4.2658,50.0,8.05
emerald,100,AU,1616437705,100,-23.5333,148.1667,73.4,5.75
seoul,17,KR,1616437705,87,37.5683,126.9778,35.6,9.22
coffs harbour,90,AU,1616437706,88,-30.3,153.1333,68.0,9.22
tahlequah,90,US,1616437707,67,35.9154,-94.97,61.0,10.36
camacha,40,PT,1616437708,63,33.0833,-16.3333,60.8,14.97
turka,81,UA,1616437708,60,49.1541,23.0297,32.0,3.98
waipawa,75,NZ,1616437708,88,-41.4122,175.5153,57.2,8.05
tasiilaq,75,GL,1616437644,63,65.6145,-37.6368,23.0,8.05
port lavaca,75,US,1616437709,50,28.615,-96.6261,77.0,25.32
bethel,1,US,1616437709,25,41.3712,-73.414,62.6,10.36
north bend,90,US,1616437709,76,43.4065,-124.2243,51.8,10.36
campbeltown,75,GB,1616437709,81,55.4258,-5.6076,50.0,11.5
bayonet point,100,US,1616437711,83,28.3267,-82.6834,64.99,11.95
alice springs,90,AU,1616437711,100,-23.7,133.8833,66.2,6.91
la ronge,100,CA,1616437711,58,55.1001,-105.2842,24.8,11.5
santo domingo,75,DO,1616437712,78,18.5001,-69.9886,80.6,11.5
thompson,20,CA,1616437712,49,55.7435,-97.8558,19.4,12.66
carnarvon,0,AU,1616437713,73,-24.8667,113.6333,75.2,20.71
parksville,31,CA,1616437486,77,49.3163,-124.3195,46.99,17.27
sharonville,40,US,1616437714,34,39.2681,-84.4133,69.01,4.61
avera,1,US,1616437714,49,33.194,-82.5271,71.01,9.22
port-gentil,20,GA,1616437715,88,-0.7193,8.7815,77.0,4.61
bat yam,0,IL,1616437715,38,32.0231,34.7503,77.0,8.05
takapau,17,NZ,1616437715,90,-40.0333,176.35,42.01,1.01
east london,40,ZA,1616437716,82,-33.0153,27.9116,62.6,3.44
alta floresta,40,BR,1616437717,55,-9.8756,-56.0861,89.6,4.61
marathon,40,US,1616437718,41,44.9,-89.7668,60.8,5.75
iranshahr,0,IR,1616437718,7,27.2025,60.6848,71.6,4.36
sitrah,0,BH,1616437588,43,26.1547,50.6206,75.2,5.75
ridgecrest,1,US,1616437606,23,35.6225,-117.6709,59.0,3.44
mackay,90,AU,1616437722,94,-21.15,149.2,77.0,5.75
leawood,1,US,1616437722,55,38.9667,-94.6169,64.4,12.66
mehamn,40,NO,1616437723,74,71.0357,27.8492,24.8,19.57
doha,0,QA,1616437724,50,25.2867,51.5333,75.99,5.75
barao de melgaco,75,BR,1616437724,78,-16.1944,-55.9675,77.0,12.66
half moon bay,1,US,1616437724,76,37.4636,-122.4286,57.99,21.85
esperance,90,AU,1616437725,82,-33.8667,121.9,60.8,11.5
kampot,40,KH,1616437726,83,10.6167,104.1833,80.6,5.75
broager,90,DK,1616437726,81,54.8874,9.681,44.6,11.5
henties bay,14,NA,1616437727,88,-22.116,14.2845,63.0,1.99
acapulco,20,MX,1616437727,70,16.8634,-99.8901,84.2,5.75
pochutla,20,MX,1616437728,51,15.7432,-96.4661,91.99,13.8
syracuse,75,IT,1616437728,87,37.0881,15.2792,48.2,8.05
vila franca do campo,40,PT,1616437729,77,37.7167,-25.4333,60.8,9.22
haines junction,73,CA,1616437730,52,60.7522,-137.5108,10.4,4.61
maraba,40,BR,1616437519,70,-5.3686,-49.1178,86.0,5.75
nagua,75,DO,1616437732,74,19.3832,-69.8474,80.6,8.66
riverton,40,US,1616437732,75,40.5219,-111.9391,43.0,11.5
komsomolskiy,100,UZ,1616437733,54,40.4272,71.7189,53.6,6.91
sorland,75,NO,1616437734,93,67.667,12.6934,41.0,23.02
antofagasta,20,CL,1616437434,68,-23.65,-70.4,70.0,17.27
byron bay,90,AU,1616437611,94,-28.65,153.6167,69.8,13.8
pacific grove,75,US,1616437586,62,36.6177,-121.9166,55.4,12.66
colac,100,AU,1616437734,97,-38.3333,143.5833,61.0,6.51
lixourion,75,GR,1616437735,76,38.2019,20.4314,51.8,4.61
kenora,1,CA,1616437535,47,49.8167,-94.4337,33.8,5.75
yulara,90,AU,1616437735,94,-25.2406,130.9889,69.8,5.75
changji,0,CN,1616437736,75,44.0167,87.3167,37.4,4.47
petatlan,1,MX,1616437736,62,17.5167,-101.2667,86.0,7.63
fortuna,90,US,1616437738,76,40.5982,-124.1573,53.01,6.91
souillac,40,MU,1616437634,89,-20.5167,57.5167,78.8,6.91
porto nacional,20,BR,1616437738,62,-10.7081,-48.4172,87.8,8.05
kortkeros,90,RU,1616437738,86,61.8106,51.5806,28.4,13.42
saint-paul,75,RE,1616437739,78,-21.0096,55.2707,78.8,8.05
bloemfontein,0,ZA,1616437739,59,-29.1211,26.214,60.8,4.61
murmashi,0,RU,1616437740,73,68.8154,32.8115,14.0,2.24
warrnambool,100,AU,1616437740,92,-38.3833,142.4833,64.0,8.05
ingham,1,US,1616437741,30,42.6,-84.3833,66.99,11.5
mae sai,40,TH,1616437742,83,20.4335,99.8762,77.0,3.44
high rock,20,BS,1616437742,56,26.6208,-78.2833,71.6,8.05
rorvik,75,NO,1616437743,100,64.8621,11.2373,42.8,16.11
bac giang,0,VN,1616437744,55,21.2667,106.2,62.6,3.44
quatre cocos,40,MU,1616437745,89,-20.2078,57.7625,80.01,6.91
chicama,0,PE,1616437654,83,-7.8447,-79.1469,73.4,11.5
valdivia,0,CL,1616437649,49,-39.8142,-73.2459,71.6,2.3
agua verde,75,MX,1616437745,57,22.9,-106.05,77.0,3.44
chihuahua,40,MX,1616437729,9,28.5,-106.0,69.8,26.46
progreso,75,MX,1616437698,48,21.2833,-89.6667,90.0,6.91
ipixuna,75,BR,1616437746,88,-1.7625,-48.8043,73.4,19.57
batemans bay,100,AU,1616437747,97,-35.7167,150.1833,64.0,13.22
nazilli,10,TR,1616437747,77,37.9163,28.3223,60.8,4.61
teguise,20,ES,1616437748,52,29.0605,-13.564,68.0,20.71
carman,15,CA,1616437748,30,49.4992,-98.0016,42.8,10.36
fairbanks,1,US,1616437749,65,64.8378,-147.7164,-0.4,8.05
abnub,0,EG,1616437750,20,27.2696,31.1511,89.6,13.8
doune,100,GB,1616437750,81,56.1899,-4.0529,48.0,1.99
nhulunbuy,88,AU,1616437751,100,-12.2333,136.7667,77.0,4.23
arica,0,CL,1616437751,64,-18.475,-70.3042,73.4,13.8
comodoro rivadavia,0,AR,1616437637,36,-45.8667,-67.5,78.8,8.05
monterrey,40,MX,1616437752,56,25.6667,-100.3167,71.6,4.61
margate,32,GB,1616437752,68,51.3813,1.3862,48.99,1.01
dagua,75,CO,1616437752,78,3.6569,-76.6886,73.4,4.61
parrita,40,CR,1616437753,44,9.5201,-84.3225,86.0,13.8
flin flon,90,CA,1616437753,54,54.7682,-101.865,26.6,6.91
kushima,0,JP,1616437753,65,31.4583,131.2333,41.0,8.01
benton,20,US,1616437754,51,36.3334,-94.3335,62.01,24.16
orbetello,20,IT,1616437754,37,42.4408,11.2196,51.8,10.36
spring valley,40,US,1616437601,17,36.108,-115.245,60.01,4.61
hambantota,75,LK,1616437754,100,6.1241,81.1185,78.8,4.61
lasa,40,IT,1616437755,64,46.6166,10.7002,51.8,13.8
birjand,0,IR,1616437757,15,32.8663,59.2211,46.4,4.61
khani,90,GE,1616437757,54,41.9563,42.9566,55.4,29.93
muros,16,ES,1616437758,53,42.7762,-9.0603,60.01,2.35
ueckermunde,84,DE,1616437758,65,53.7379,14.0447,43.0,6.64
gat,95,IL,1616437742,53,31.61,34.7642,77.0,4.0
okotoks,64,CA,1616437759,32,50.7289,-113.9828,42.01,10.0
erzin,8,TR,1616437759,70,36.9559,36.2,68.0,1.01
casa nova,75,BR,1616437759,45,-9.4167,-41.1333,89.6,12.66
noumea,0,NC,1616437760,88,-22.2763,166.4572,66.2,2.3
brae,75,GB,1616437760,93,60.3964,-1.353,46.4,23.02
sept-iles,75,CA,1616437761,40,50.2001,-66.3821,48.2,13.8
orchard homes,90,US,1616437762,56,46.8633,-114.0484,41.0,4.61
norman wells,75,CA,1616437763,70,65.282,-126.8329,-9.4,3.44
oostburg,90,US,1616437763,41,43.6228,-87.7945,60.8,10.36
fano,53,IT,1616437763,68,43.8204,13.0121,48.0,9.17
zamora,20,EC,1616437764,39,-4.0692,-78.9567,86.0,5.75
marawi,72,PH,1616437765,89,7.9986,124.2928,73.0,5.99
necochea,69,AR,1616437766,37,-38.5473,-58.7368,73.99,4.23
vila,51,PT,1616437766,53,42.0304,-8.1588,61.0,5.99
otradnoye,20,RU,1616437687,59,59.7775,30.8181,28.4,11.18
moura,0,PT,1616437767,34,38.1401,-7.4486,66.2,4.61
kathu,20,TH,1616437768,83,7.9178,98.3332,88.0,3.44
methoni,75,GR,1616437768,58,36.8197,21.7049,55.4,4.61
monterey,32,US,1616437770,49,36.2505,-121.2516,55.99,13.0
mareeba,100,AU,1616437770,94,-17.0,145.4333,73.4,2.3
gimli,8,CA,1616437771,59,50.6336,-96.9907,28.4,9.22
cozumel,75,MX,1616437706,57,20.5083,-86.9458,80.6,13.8
lanigan,100,CA,1616437773,86,51.8501,-105.0344,32.0,14.97
ambon,20,ID,1616437773,94,-3.6954,128.1814,75.2,2.3
twin falls,90,US,1616437775,86,42.3505,-114.6445,34.0,17.27
masyaf,0,SY,1616437776,63,35.0653,36.3406,66.2,8.05
vestmannaeyjar,40,IS,1616437759,70,63.4427,-20.2734,37.4,29.93
sistranda,90,NO,1616437776,93,63.7256,8.834,44.6,23.02
barga,47,IT,1616437777,58,44.0742,10.4808,46.0,3.44
lujiang,0,CN,1616437778,65,31.2581,117.2817,52.0,6.71
roald,75,NO,1616437778,93,62.5833,6.1333,44.6,19.57
acajutla,0,SV,1616437779,37,13.5928,-89.8275,86.0,2.3
thurso,20,GB,1616437572,76,58.5927,-3.5259,50.0,6.91
kozlovka,75,RU,1616437780,93,55.8428,48.2492,28.4,11.18
neuquen,0,AR,1616437765,36,-38.9516,-68.0591,82.4,1.14
christchurch,77,NZ,1616437708,100,-43.5333,172.6333,52.0,4.61
winnemucca,90,US,1616437783,81,40.973,-117.7357,37.4,10.36
cap malheureux,9,MU,1616437783,83,-19.9842,57.6142,80.01,3.0
hamilton,75,US,1616437708,37,39.1834,-84.5333,68.0,6.91
cayenne,75,GF,1616437785,89,4.9333,-52.3333,82.0,3.44
nibbar,40,TN,1616437786,62,36.2941,8.7666,50.0,6.91
cedar city,1,US,1616437595,33,37.6775,-113.0619,42.01,3.44
edgewater,75,US,1616437788,77,28.9889,-80.9023,68.0,19.57
palaia fokaia,75,GR,1616437789,47,37.72,23.9463,57.99,8.05
porto santo,40,PT,1616437790,63,33.072,-16.3415,60.8,14.97
batu arang,20,MY,1616437790,83,3.3167,101.4667,80.01,5.75
coahuayana,1,MX,1616437791,30,18.7333,-103.6833,82.4,7.43
somotillo,20,NI,1616437791,43,13.0433,-86.9064,95.0,13.8
hermosillo,75,MX,1616437509,21,29.0667,-110.9667,73.0,5.39
savannah bight,20,HN,1616437793,69,16.45,-85.85,80.6,6.42
plasnica,90,MK,1616437793,75,41.4672,21.1231,35.6,6.91
